Date & time;Dag;Profile E1a [kWh];Profile E1b [kWh];Totaal;;uurfractie E
01-03-2009 18:00:00;3,00;3844,984778;3529,629982;7374,61476;;0,00023606
01-03-2009 19:00:00;3,00;3696,46954;3434,874815;7131,344354;;0,00022827
01-03-2009 20:00:00;3,00;3577,039889;3227,073135;6804,113024;;0,00021779
01-03-2009 21:00:00;3,00;3160,417273;2771,288786;5931,706059;;0,00018987
01-03-2009 22:00:00;3,00;2975,504427;2607,416321;5582,920748;;0,00017871
01-03-2009 23:00:00;3,00;2588,292378;2402,463293;4990,75567;;0,00015975
01-04-2009 00:00:00;3,00;1940,772437;1862,118952;3802,89139;;0,00012173
01-04-2009 01:00:00;4,00;1349,473802;1402,13659;2751,610392;;0,00008808
01-04-2009 02:00:00;4,00;1105,577333;1141,260021;2246,837354;;0,00007192
01-04-2009 03:00:00;4,00;956,7371159;1000,926419;1957,663535;;0,00006266
01-04-2009 04:00:00;4,00;934,8010577;892,5277072;1827,328765;;0,00005849
01-04-2009 05:00:00;4,00;942,2755664;853,396222;1795,671788;;0,00005748
01-04-2009 06:00:00;4,00;950,0750538;882,7823182;1832,857372;;0,00005867
01-04-2009 07:00:00;4,00;1086,241104;1001,676065;2087,917168;;0,00006683
01-04-2009 08:00:00;4,00;1414,46953;1299,285253;2713,754783;;0,00008687
01-04-2009 09:00:00;4,00;1899,175172;1663,013158;3562,188329;;0,00011402
01-04-2009 10:00:00;4,00;2256,814165;2085,813113;4342,627278;;0,00013900
01-04-2009 11:00:00;4,00;2473,737407;2372,777338;4846,514745;;0,00015513
01-04-2009 12:00:00;4,00;2722,671045;2378,174784;5100,84583;;0,00016327
01-04-2009 13:00:00;4,00;2772,717756;2556,440439;5329,158195;;0,00017058
01-04-2009 14:00:00;4,00;2796,603686;2504,265126;5300,868811;;0,00016968
01-04-2009 15:00:00;4,00;2673,274292;2522,106684;5195,380976;;0,00016630
01-04-2009 16:00:00;4,00;2734,532765;2497,518318;5232,051083;;0,00016747
01-04-2009 17:00:00;4,00;3411,625762;2885,084944;6296,710705;;0,00020155
01-04-2009 18:00:00;4,00;3666,084037;3420,331696;7086,415733;;0,00022683
01-04-2009 19:00:00;4,00;3636,835959;3320,179082;6957,015041;;0,00022269
01-04-2009 20:00:00;4,00;3493,032911;3154,20761;6647,240521;;0,00021277
01-04-2009 21:00:00;4,00;3115,082753;2887,933596;6003,016349;;0,00019215
01-04-2009 22:00:00;4,00;2839,825845;2527,354201;5367,180046;;0,00017180
01-04-2009 23:00:00;4,00;2291,099411;2264,528555;4555,627967;;0,00014582
01-05-2009 00:00:00;4,00;1536,661499;1663,462945;3200,124444;;0,00010243
01-05-2009 01:00:00;5,00;1103,627461;1158,651793;2262,279254;;0,00007241
01-05-2009 02:00:00;5,00;953,4873295;988,1824489;1941,669778;;0,00006215
01-05-2009 03:00:00;5,00;880,8546035;858,4938101;1739,348414;;0,00005568
01-05-2009 04:00:00;5,00;881,3420714;836,454238;1717,796309;;0,00005499
01-05-2009 05:00:00;5,00;905,5529801;852,4966476;1758,049628;;0,00005627
01-05-2009 06:00:00;5,00;1083,478785;1057,749534;2141,228319;;0,00006854
01-05-2009 07:00:00;5,00;1529,999437;1477,25105;3007,250486;;0,00009626
01-05-2009 08:00:00;5,00;1995,531338;1886,857248;3882,388586;;0,00012427
01-05-2009 09:00:00;5,00;2517,609523;2128,992683;4646,602206;;0,00014873
01-05-2009 10:00:00;5,00;2669,212059;2187,01523;4856,227289;;0,00015544
01-05-2009 11:00:00;5,00;2723,80847;2097,057793;4820,866263;;0,00015431
01-05-2009 12:00:00;5,00;2703,984773;2147,284029;4851,268802;;0,00015529
01-05-2009 13:00:00;5,00;2463,013112;2020,144184;4483,157296;;0,00014350
01-05-2009 14:00:00;5,00;2416,378677;1794,950733;4211,32941;;0,00013480
01-05-2009 15:00:00;5,00;2349,758056;1763,765488;4113,523543;;0,00013167
01-05-2009 16:00:00;5,00;2691,473096;1956,274403;4647,747499;;0,00014877
01-05-2009 17:00:00;5,00;3474,18415;2712,366664;6186,550814;;0,00019803
01-05-2009 18:00:00;5,00;3782,913858;3291,392702;7074,30656;;0,00022644
01-05-2009 19:00:00;5,00;3638,298363;3235,918949;6874,217312;;0,00022004
01-05-2009 20:00:00;5,00;3423,000014;2859,447074;6282,447088;;0,00020110
01-05-2009 21:00:00;5,00;3104,845926;2596,921286;5701,767212;;0,00018251
01-05-2009 22:00:00;5,00;2799,203515;2455,838039;5255,041553;;0,00016821
01-05-2009 23:00:00;5,00;2175,082037;2270,825576;4445,907613;;0,00014231
01-06-2009 00:00:00;5,00;1477,677876;1939,332419;3417,010295;;0,00010938
01-06-2009 01:00:00;6,00;1071,454576;1340,065958;2411,520534;;0,00007719
01-06-2009 02:00:00;6,00;922,1268907;1088,335062;2010,461953;;0,00006435
01-06-2009 03:00:00;6,00;842,9945919;906,1712519;1749,165844;;0,00005599
01-06-2009 04:00:00;6,00;852,9064404;859,0935264;1711,999967;;0,00005480
01-06-2009 05:00:00;6,00;886,0542617;926,5616043;1812,615866;;0,00005802
01-06-2009 06:00:00;6,00;1045,293795;1105,726834;2151,020629;;0,00006885
01-06-2009 07:00:00;6,00;1404,232703;1506,637146;2910,869849;;0,00009317
01-06-2009 08:00:00;6,00;1913,9617;1964,520502;3878,482202;;0,00012415
01-06-2009 09:00:00;6,00;2356,420118;1904,398948;4260,819066;;0,00013639
01-06-2009 10:00:00;6,00;2392,655236;1817,140234;4209,79547;;0,00013475
01-06-2009 11:00:00;6,00;2426,453015;1751,771163;4178,224177;;0,00013374
01-06-2009 12:00:00;6,00;2577,893061;1860,019946;4437,913007;;0,00014205
01-06-2009 13:00:00;6,00;2457,975943;1736,778256;4194,754199;;0,00013427
