"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Amsterdam";"2012*";"1050";"1000";"1150";"1450";"1800";"2550";"6.0";"2350";"2150";"2750";"3200";"3750";"4600"
"Apeldoorn";"2010";"2000";"1300";"1750";"2000";"2500";"3350";"0.0";"3350";"2300";"3350";"3400";"3900";"4500"
"Apeldoorn";"2011";"1550";"1050";"1350";"1550";"1950";"2650";"0.0";"3350";"2300";"3350";"3400";"3850";"4500"
"Apeldoorn";"2012*";"1650";"1100";"1450";"1700";"2050";"2800";"0.0";"3250";"2250";"3250";"3300";"3750";"4400"
"Appingedam";"2010";"2050";"1350";"1800";"2050";"2250";"2800";"0.0";"3000";"2000";"2750";"2900";"3200";"4000"
"Appingedam";"2011";"1600";"1050";"1400";"1600";"1800";"2250";"0.0";"2950";"1950";"2650";"2850";"3150";"4000"
"Appingedam";"2012*";"1750";"1100";"1500";"1700";"1950";"2400";"0.0";"2950";"2000";"2700";"2850";"3100";"3950"
"Arnhem";"2010";"1600";"1300";"1600";"1900";"2200";"3250";"0.0";"2850";"2250";"3100";"3300";"3900";"4750"
"Arnhem";"2011";"1250";"1050";"1250";"1500";"1750";"2550";"0.0";"2850";"2250";"3100";"3250";"3900";"4750"
"Arnhem";"2012*";"1350";"1150";"1300";"1550";"1850";"2650";"0.0";"2850";"2250";"3050";"3200";"3850";"4700"
"Assen";"2010";"1950";"1350";"1750";"2050";"2350";"3100";"0.0";"3150";"2000";"3050";"3250";"3850";"4400"
"Assen";"2011";"1550";"1000";"1350";"1600";"1850";"2450";"0.0";"3150";"1950";"3050";"3250";"3850";"4450"
"Assen";"2012*";"1650";"1100";"1450";"1700";"2000";"2650";"0.0";"3100";"1950";"3000";"3200";"3800";"4400"
"Asten";"2010";"2250";"1100";"1750";"2050";"2450";"3200";"0.0";"4050";"2600";"3450";"3650";"4350";"5200"
"Asten";"2011";"1800";"850";"1400";"1600";"1950";"2550";"0.0";"4100";"2650";"3500";"3700";"4350";"5350"
"Asten";"2012*";"1850";"900";"1450";"1650";"2000";"2650";"0.0";"4000";"2550";"3450";"3650";"4300";"5250"
"Baarle-Nassau";"2010";"2600";"1350";"2000";"2150";"2600";"3300";"0.0";"4000";"2500";"3400";"3500";"3850";"4800"
"Baarle-Nassau";"2011";"1950";"1050";"1500";"1650";"1950";"2500";"0.0";"4000";"2550";"3400";"3500";"3750";"4800"
"Baarle-Nassau";"2012*";"2050";"1100";"1650";"1800";"2100";"2700";"0.0";"3800";"2550";"3400";"3400";"3750";"4750"
"Baarn";"2010";"2400";"1500";"1950";"2400";"3050";"4400";"0.0";"3450";"2300";"3200";"3550";"4250";"5150"
"Baarn";"2011";"1800";"1150";"1500";"1850";"2350";"3400";"0.0";"3350";"2300";"3150";"3500";"4200";"5100"
"Baarn";"2012*";"1900";"1200";"1600";"1950";"2500";"3600";"0.0";"3250";"2300";"3100";"3450";"4050";"5050"
"Barendrecht";"2010";"1600";"1000";"1500";"1900";"2250";"2900";"0.0";"3650";"2600";"3700";"3900";"4800";"5250"
"Barendrecht";"2011";"1250";"750";"1200";"1500";"1800";"2250";"0.0";"3650";"2600";"3650";"3900";"4750";"5300"
"Barendrecht";"2012*";"1350";"850";"1250";"1600";"1850";"2350";"0.0";"3550";"2550";"3600";"3850";"4750";"5300"
"Barneveld";"2010";"2300";"1200";"1650";"2050";"2600";"3450";"0.0";"3850";"2350";"3300";"3750";"4400";"4950"
"Barneveld";"2011";"1800";"950";"1300";"1600";"2050";"2750";"0.0";"3850";"2350";"3300";"3750";"4400";"5000"
"Barneveld";"2012*";"1900";"1000";"1400";"1700";"2200";"3000";"0.0";"3800";"2300";"3250";"3650";"4350";"5000"
"Bedum";"2010";"2300";"1400";"1950";"2200";"2250";"2850";"0.0";"3300";"2050";"3000";"3150";"3350";"3950"
"Bedum";"2011";"1850";"1000";"1550";"1750";"1750";"2300";"0.0";"3250";"1900";"2950";"3050";"3300";"3950"
"Bedum";"2012*";"2000";"1150";"1650";"1850";"1900";"2500";"0.0";"3200";"2050";"2900";"3000";"3250";"3800"
"Beek (L.)";"2010";"2400";"1500";"2050";"2250";"2650";"3400";"0.0";"3750";"2200";"3750";"4000";"4200";"4900"
"Beek (L.)";"2011";"1750";"1150";"1500";"1700";"2000";"2500";"0.0";"3600";"2150";"3500";"3800";"4000";"4650"
"Beek (L.)";"2012*";"1900";"1100";"1650";"1800";"2150";"2750";"0.0";"3600";"2100";"3500";"3750";"3950";"4600"
"Beemster";"2010";"2400";"1650";"1750";"2100";"2600";"3200";"0.0";"3800";"1700";"3250";"3500";"4100";"4600"
"Beemster";"2011";"1950";"1250";"1400";"1700";"2100";"2550";"0.0";"3800";"1750";"3200";"3450";"4050";"4700"
"Beemster";"2012*";"2000";"1250";"1450";"1700";"2150";"2700";"0.0";"3700";"1800";"3150";"3350";"4000";"4550"
"Beesel";"2010";"2100";"600";"1800";"1950";"2300";"3050";"0.0";"3850";"2500";"3400";"3550";"3950";"4800"
"Beesel";"2011";"1600";"500";"1350";"1450";"1750";"2300";"0.0";"3750";"2500";"3300";"3450";"3900";"4650"
"Beesel";"2012*";"1700";"500";"1450";"1600";"1900";"2500";"0.0";"3650";"2500";"3300";"3400";"3800";"4650"
"Bellingwedde";"2010";"2700";"1450";"2000";"2300";"2450";"3000";"0.0";"3650";"2000";"2500";"2800";"3300";"4050"
"Bellingwedde";"2011";"2150";"1150";"1500";"1750";"1950";"2350";"0.0";"3650";"2000";"2450";"2700";"3300";"4100"
"Bellingwedde";"2012*";"2300";"1200";"1650";"1900";"2100";"2550";"0.0";"3550";"1950";"2400";"2600";"3250";"4050"
"Bergambacht";"2010";"2100";"1150";"1700";"2000";"2450";"3100";"0.0";"3650";"2100";"3350";"3550";"4100";"4650"
"Bergambacht";"2011";"1650";"950";"1350";"1600";"1900";"2450";"0.0";"3600";"2100";"3350";"3550";"4150";"4650"
"Bergambacht";"2012*";"1700";"1000";"1400";"1650";"2000";"2600";"0.0";"3450";"2100";"3200";"3400";"4100";"4600"
"Bergeijk";"2010";"2450";"1150";"1850";"2000";"2400";"3150";"0.0";"4100";"2450";"3450";"3550";"4100";"4900"
"Bergeijk";"2011";"1950";"900";"1450";"1600";"1900";"2500";"0.0";"4150";"2500";"3450";"3550";"4150";"4850"
"Bergeijk";"2012*";"2050";"1150";"1550";"1700";"2000";"2700";"0.0";"4000";"2400";"3400";"3500";"4100";"4850"
"Bergen (L.)";"2010";"2400";"1300";"1800";"1950";"2250";"3050";"0.0";"4150";"2250";"3650";"3650";"3900";"5050"
"Bergen (L.)";"2011";"1800";"1000";"1350";"1450";"1700";"2300";"0.0";"4000";"2300";"3500";"3550";"3750";"4850"
"Bergen (L.)";"2012*";"1900";"1100";"1400";"1500";"1800";"2450";"0.0";"3950";"2350";"3400";"3550";"3700";"4800"
"Bergen (NH.)";"2010";"2400";"1300";"2000";"2150";"2700";"3600";"0.0";"3450";"2000";"3300";"3450";"3900";"4450"
"Bergen (NH.)";"2011";"1900";"1050";"1600";"1700";"2150";"2850";"0.0";"3450";"2050";"3300";"3350";"3900";"4450"
"Bergen (NH.)";"2012*";"2000";"1100";"1650";"1750";"2250";"3050";"0.0";"3350";"2050";"3150";"3300";"3800";"4350"
"Bergen op Zoom";"2010";"1800";"1150";"1750";"2000";"2350";"3050";"0.0";"3300";"2350";"3350";"3450";"3950";"4950"
"Bergen op Zoom";"2011";"1350";"900";"1300";"1500";"1750";"2300";"0.0";"3300";"2300";"3300";"3400";"3900";"4900"
