"Regio's";"Perioden";"m3";"m3";"m3";"m3";"m3";"m3";"%";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Cranendonck";"2010";"2350";"1350";"1850";"1950";"2400";"3150";"0.0";"4050";"2350";"3500";"3500";"4150";"4950"
"Cranendonck";"2011";"1900";"1100";"1450";"1600";"1950";"2550";"0.0";"3950";"2450";"3400";"3450";"4100";"4850"
"Cranendonck";"2012*";"1900";"1100";"1500";"1550";"1950";"2550";"0.0";"3900";"2400";"3350";"3350";"4050";"4800"
"Cromstrijen";"2010";"2000";"1250";"1600";"2000";"2150";"2900";"0.0";"3750";"2650";"3300";"3550";"4150";"4700"
"Cromstrijen";"2011";"1550";"900";"1200";"1550";"1650";"2250";"0.0";"3650";"2400";"3250";"3450";"4050";"4600"
"Cromstrijen";"2012*";"1600";"1250";"1300";"1650";"1800";"2350";"0.0";"3500";"2600";"3150";"3400";"4000";"4500"
"Cuijk";"2010";"2050";"1150";"1750";"2000";"2250";"3050";"0.0";"3550";"2150";"3250";"3500";"3950";"4850"
"Cuijk";"2011";"1550";"850";"1350";"1550";"1750";"2350";"0.0";"3550";"2200";"3250";"3500";"4000";"4850"
"Cuijk";"2012*";"1650";"900";"1450";"1650";"1850";"2500";"0.0";"3500";"2150";"3200";"3450";"3900";"4800"
"Culemborg";"2010";"1700";"950";"1500";"1900";"2300";"2900";"7.0";"3350";"2200";"3250";"3450";"4450";"5000"
"Culemborg";"2011";"1300";"750";"1200";"1450";"1850";"2250";"7.0";"3300";"2200";"3200";"3450";"4350";"4850"
"Culemborg";"2012*";"1350";"800";"1250";"1550";"1950";"2400";"7.0";"3200";"2200";"3150";"3350";"4250";"4750"
"Dalfsen";"2010";"2450";"1300";"1850";"2100";"2400";"3050";"0.0";"3850";"2250";"3050";"3300";"3950";"4450"
"Dalfsen";"2011";"1900";"950";"1450";"1650";"1900";"2350";"0.0";"3800";"2150";"3000";"3250";"3900";"4450"
"Dalfsen";"2012*";"2000";"1050";"1500";"1700";"2000";"2500";"0.0";"3700";"2100";"3000";"3200";"3850";"4350"
"Dantumadiel";"2010";"2400";"1250";"1950";"2200";"2200";"2700";"0.0";"3100";"1650";"2350";"2550";"3100";"3550"
"Dantumadiel";"2011";"1900";"1000";"1500";"1750";"1750";"2100";"0.0";"3100";"1850";"2350";"2600";"3150";"3600"
"Dantumadiel";"2012*";"2000";"1050";"1700";"1850";"1850";"2200";"0.0";"3100";"1850";"2300";"2500";"3050";"3550"
"Delft";"2010";"1500";"1300";"1650";"1950";"2650";"3750";"0.0";"2800";"2400";"3250";"3350";"3900";"4550"
"Delft";"2011";"1150";"1000";"1250";"1500";"2050";"2950";"0.0";"2750";"2350";"3200";"3350";"3950";"4550"
"Delft";"2012*";"1250";"1150";"1300";"1600";"2150";"3050";"0.0";"2650";"2300";"3150";"3250";"3900";"4450"
"Delfzijl";"2010";"2250";"1450";"1950";"2200";"2350";"2850";"0.0";"3200";"2000";"3050";"3150";"3350";"4050"
"Delfzijl";"2011";"1750";"1100";"1550";"1750";"1850";"2250";"0.0";"3150";"1950";"2950";"3100";"3300";"4000"
"Delfzijl";"2012*";"1950";"1400";"1650";"1900";"2000";"2450";"0.0";"3150";"1950";"2950";"3050";"3250";"3900"
"Deurne";"2010";"2250";"1150";"1750";"1950";"2350";"3150";"0.0";"4000";"2550";"3500";"3600";"4150";"5150"
"Deurne";"2011";"1750";"900";"1400";"1500";"1850";"2500";"0.0";"3900";"2450";"3400";"3500";"4050";"5000"
"Deurne";"2012*";"1800";"950";"1450";"1600";"1950";"2600";"0.0";"3800";"2400";"3400";"3450";"4050";"4900"
"Deventer";"2010";"1850";"1200";"1700";"2000";"2350";"3200";"0.0";"3200";"2300";"3200";"3300";"3950";"4750"
"Deventer";"2011";"1450";"950";"1350";"1550";"1850";"2500";"0.0";"3200";"2250";"3150";"3300";"3950";"4800"
"Deventer";"2012*";"1500";"1000";"1450";"1700";"2000";"2650";"0.0";"3150";"2300";"3150";"3250";"3900";"4750"
"Diemen";"2010";"1650";"1350";"1700";"2100";"2150";"3500";"0.0";"3200";"2600";"3700";"4100";"4500";"4400"
"Diemen";"2011";"1250";"1050";"1350";"1600";"1700";"2700";"0.0";"3200";"2550";"3650";"4000";"4700";"4450"
"Diemen";"2012*";"1350";"1150";"1400";"1750";"1850";"3000";"0.0";"3200";"2550";"3600";"3900";"4850";"5000"
"Dinkelland";"2010";"2750";"1400";"2050";"2300";"2600";"3150";"0.0";"4200";"2250";"3250";"3650";"4250";"4750"
"Dinkelland";"2011";"2200";"1000";"1650";"1850";"2100";"2600";"0.0";"4200";"2150";"3300";"3600";"4250";"4800"
"Dinkelland";"2012*";"2450";"1150";"1800";"2000";"2350";"2900";"0.0";"4200";"2300";"3250";"3550";"4250";"4800"
"Dirksland";"2010";"2050";"1350";"1750";"2000";"2200";"2700";"0.0";"3500";"2050";"3100";"3350";"3950";"4400"
"Dirksland";"2011";"1600";"1000";"1350";"1550";"1700";"2100";"0.0";"3500";"2050";"3100";"3300";"3950";"4400"
"Dirksland";"2012*";"1650";"900";"1400";"1600";"1800";"2200";"0.0";"3450";"2050";"3050";"3300";"3950";"4400"
"Doesburg";"2010";"1800";"1200";"1700";"1950";"2300";"2850";"0.0";"3200";"2200";"3200";"3250";"3850";"4700"
"Doesburg";"2011";"1450";"900";"1350";"1550";"1800";"2250";"0.0";"3200";"2300";"3250";"3250";"3850";"4700"
"Doesburg";"2012*";"1500";"950";"1400";"1600";"1850";"2300";"0.0";"3100";"2250";"3100";"3150";"3700";"4550"
"Doetinchem";"2010";"1950";"1250";"1550";"1850";"2300";"3100";"0.0";"3400";"2150";"3100";"3300";"4050";"4750"
"Doetinchem";"2011";"1600";"950";"1250";"1500";"1850";"2550";"0.0";"3450";"2150";"3150";"3350";"4050";"4800"
"Doetinchem";"2012*";"1600";"1050";"1300";"1550";"1900";"2600";"0.0";"3300";"2050";"3000";"3200";"3900";"4700"
"Dongen";"2010";"2050";"1200";"1700";"1950";"2350";"3150";"0.0";"3750";"2500";"3500";"3650";"4100";"4800"
"Dongen";"2011";"1500";"850";"1250";"1450";"1800";"2400";"0.0";"3650";"2450";"3400";"3550";"3950";"4750"
"Dongen";"2012*";"1650";"950";"1350";"1600";"1900";"2600";"0.0";"3600";"2450";"3400";"3550";"3950";"4650"
"Dongeradeel";"2010";"2200";"1300";"1950";"2100";"2050";"2600";"0.0";"2900";"1900";"2450";"2550";"2850";"3550"
"Dongeradeel";"2011";"1700";"1000";"1500";"1650";"1650";"2050";"0.0";"2950";"1850";"2450";"2550";"2900";"3550"
"Dongeradeel";"2012*";"1800";"1050";"1550";"1750";"1700";"2150";"0.0";"2850";"1950";"2400";"2500";"2800";"3500"
"Dordrecht";"2010";"1700";"1350";"1750";"2100";"2550";"3200";"0.0";"3050";"2250";"3450";"3700";"4100";"4850"
"Dordrecht";"2011";"1300";"1050";"1350";"1650";"2000";"2450";"0.0";"3000";"2250";"3450";"3650";"4050";"4800"
"Dordrecht";"2012*";"1400";"1100";"1450";"1750";"2100";"2600";"0.0";"2950";"2200";"3350";"3550";"4000";"4800"
"Drechterland";"2010";"2200";"950";"1650";"1950";"2200";"2850";"0.0";"3750";"2100";"3100";"3300";"3900";"4550"
"Drechterland";"2011";"1700";"750";"1300";"1500";"1750";"2250";"0.0";"3750";"2100";"3100";"3300";"3950";"4550"
"Drechterland";"2012*";"1800";"800";"1400";"1600";"1800";"2400";"0.0";"3600";"2150";"3000";"3200";"3850";"4450"
"Drimmelen";"2010";"2200";"1300";"1750";"2000";"2350";"3000";"0.0";"3750";"2350";"3350";"3450";"3800";"4550"
"Drimmelen";"2011";"1750";"950";"1350";"1550";"1850";"2350";"0.0";"3750";"2350";"3350";"3450";"3850";"4600"
"Drimmelen";"2012*";"1900";"1050";"1500";"1700";"2050";"2600";"0.0";"3650";"2300";"3300";"3400";"3750";"4550"
"Dronten";"2010";"1900";"1000";"1650";"1900";"1950";"2600";"0.0";"3750";"2350";"3400";"3550";"4200";"4800"
"Dronten";"2011";"1450";"800";"1300";"1450";"1500";"2000";"0.0";"3700";"2400";"3350";"3500";"4100";"4750"
"Dronten";"2012*";"1550";"850";"1350";"1550";"1600";"2150";"0.0";"3600";"2450";"3300";"3500";"4050";"4650"
"Druten";"2010";"2100";"1150";"1650";"1950";"2200";"2950";"0.0";"3800";"2300";"3300";"3400";"4250";"4850"
"Druten";"2011";"1650";"850";"1300";"1500";"1750";"2350";"0.0";"3850";"2250";"3350";"3450";"4300";"4850"
"Druten";"2012*";"1650";"850";"1350";"1550";"1850";"2400";"0.0";"3650";"2200";"3200";"3300";"4200";"4750"
"Duiven";"2010";"800";"300";"600";"750";"650";"1900";"60.0";"3650";"2000";"3350";"3500";"4250";"4900"
"Duiven";"2011";"650";"250";"500";"600";"500";"1550";"58.0";"3650";"2100";"3350";"3500";"4200";"4900"
"Duiven";"2012*";"650";"250";"500";"650";"550";"1650";"58.0";"3600";"2050";"3250";"3400";"4100";"4750"
"Echt-Susteren";"2010";"2350";"1250";"1950";"2150";"2450";"3100";"0.0";"3900";"2350";"3550";"3600";"4050";"4750"
"Echt-Susteren";"2011";"1800";"900";"1450";"1600";"1850";"2350";"0.0";"3800";"2250";"3400";"3550";"3900";"4600"
"Echt-Susteren";"2012*";"1900";"1000";"1550";"1750";"2000";"2550";"0.0";"3750";"2250";"3400";"3500";"3850";"4550"
"Edam-Volendam";"2010";"2250";"1150";"2200";"2500";"2550";"3000";"0.0";"3800";"2250";"3850";"4050";"3650";"4450"
"Edam-Volendam";"2011";"1800";"900";"1750";"2000";"2050";"2400";"0.0";"3850";"2300";"3900";"4100";"3700";"4500"
"Edam-Volendam";"2012*";"1850";"1000";"1850";"2100";"2150";"2500";"0.0";"3750";"2300";"3800";"4000";"3650";"4300"
"Ede";"2010";"2000";"1200";"1550";"1850";"2550";"3400";"0.0";"3500";"2250";"3500";"3650";"4000";"4800"
"Ede";"2011";"1550";"950";"1250";"1500";"2000";"2700";"0.0";"3500";"2250";"3500";"3600";"4000";"4850"
"Ede";"2012*";"1600";"950";"1300";"1550";"2100";"2850";"0.0";"3350";"2200";"3400";"3500";"3950";"4750"
"Eemnes";"2010";"2250";"1400";"1900";"2150";"2900";"3700";"0.0";"3800";"2400";"3600";"3650";"4350";"5200"
"Eemnes";"2011";"1800";"1050";"1500";"1700";"2350";"3000";"0.0";"3800";"2400";"3600";"3600";"4350";"5200"
"Eemnes";"2012*";"1800";"1100";"1550";"1750";"2400";"3100";"0.0";"3600";"2350";"3450";"3550";"4200";"5000"
"Eemsmond";"2010";"2500";"1200";"2000";"2300";"2350";"2850";"0.0";"3250";"1800";"2500";"2750";"3000";"3850"
"Eemsmond";"2011";"2000";"950";"1600";"1850";"1850";"2300";"0.0";"3250";"1750";"2500";"2700";"3050";"3850"
"Eemsmond";"2012*";"2150";"1000";"1700";"1950";"2000";"2500";"0.0";"3150";"1800";"2450";"2600";"3000";"3800"
"Eersel";"2010";"2450";"900";"1800";"1950";"2450";"3300";"0.0";"4050";"2400";"3500";"3550";"4200";"4800"
"Eersel";"2011";"1950";"750";"1450";"1550";"1950";"2600";"0.0";"4000";"2400";"3450";"3500";"4200";"4800"
"Eersel";"2012*";"1950";"800";"1450";"1600";"2000";"2700";"0.0";"3950";"2350";"3400";"3400";"4100";"4750"
"Eijsden-Margraten";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Eijsden-Margraten";"2011";"2050";"1150";"1750";"1900";"2200";"2650";"0.0";"3900";"2500";"3650";"3800";"4000";"4650"
"Eijsden-Margraten";"2012*";"2150";"1200";"1850";"2000";"2300";"2850";"0.0";"3850";"2500";"3600";"3750";"3900";"4550"
"Eindhoven";"2010";"1700";"1200";"1750";"2050";"2650";"3150";"0.0";"3100";"2150";"3250";"3450";"4000";"5300"
"Eindhoven";"2011";"1350";"900";"1350";"1600";"2050";"2500";"0.0";"3050";"2150";"3250";"3450";"4050";"5250"
"Eindhoven";"2012*";"1450";"1000";"1450";"1750";"2250";"2700";"0.0";"3000";"2100";"3200";"3400";"4000";"5250"
"Elburg";"2010";"2200";"1200";"1750";"2050";"2400";"3250";"0.0";"3650";"2400";"3250";"3500";"4050";"4650"
"Elburg";"2011";"1700";"950";"1350";"1600";"1850";"2550";"0.0";"3600";"2300";"3200";"3400";"4000";"4500"
"Elburg";"2012*";"1750";"1000";"1450";"1650";"2000";"2650";"0.0";"3500";"2350";"3150";"3350";"3900";"4400"
"Emmen";"2010";"2250";"1400";"1900";"2200";"2350";"3000";"0.0";"3500";"2300";"3050";"3200";"3850";"4450"
"Emmen";"2011";"1800";"1100";"1500";"1750";"1850";"2400";"0.0";"3450";"2250";"3000";"3200";"3850";"4450"
"Emmen";"2012*";"1900";"1200";"1600";"1850";"2000";"2600";"0.0";"3400";"2250";"2950";"3150";"3800";"4400"
"Enkhuizen";"2010";"1800";"1100";"1700";"1900";"2050";"2600";"0.0";"3150";"2150";"3150";"3350";"3750";"4450"
"Enkhuizen";"2011";"1450";"900";"1350";"1550";"1650";"2100";"0.0";"3250";"2250";"3200";"3400";"3850";"4600"
"Enkhuizen";"2012*";"1500";"900";"1400";"1650";"1750";"2200";"0.0";"3150";"2150";"3050";"3250";"3650";"4400"
"Enschede";"2010";"1750";"1250";"1550";"1850";"2350";"3050";"10.0";"3200";"2250";"3300";"3450";"3700";"4850"
"Enschede";"2011";"1350";"950";"1200";"1450";"1850";"2400";"10.0";"3250";"2200";"3300";"3500";"3750";"4950"
"Enschede";"2012*";"1450";"1000";"1300";"1550";"2000";"2550";"10.0";"3250";"2250";"3300";"3450";"3700";"4850"
"Epe";"2010";"2450";"1300";"1800";"2150";"2650";"3400";"0.0";"3700";"2450";"3200";"3300";"4000";"4600"
"Epe";"2011";"1950";"1000";"1450";"1700";"2100";"2700";"0.0";"3700";"2500";"3200";"3350";"4000";"4600"
"Epe";"2012*";"2000";"1100";"1500";"1800";"2200";"2850";"0.0";"3550";"2450";"3100";"3250";"3900";"4450"
"Ermelo";"2010";"2250";"1150";"1750";"2050";"2650";"3450";"0.0";"3550";"2100";"3250";"3350";"4100";"4700"
"Ermelo";"2011";"1750";"900";"1350";"1600";"2100";"2700";"0.0";"3550";"2100";"3150";"3300";"4100";"4650"
"Ermelo";"2012*";"1850";"950";"1450";"1700";"2200";"2850";"0.0";"3450";"2150";"3050";"3250";"4000";"4650"
"Etten-Leur";"2010";"1950";"1050";"1750";"2050";"2400";"3150";"0.0";"3600";"2350";"3450";"3500";"4500";"5050"
"Etten-Leur";"2011";"1550";"800";"1400";"1600";"1900";"2500";"0.0";"3650";"2350";"3500";"3550";"4550";"5100"
"Etten-Leur";"2012*";"1650";"850";"1450";"1700";"2050";"2700";"0.0";"3600";"2350";"3450";"3550";"4500";"5050"
"Ferwerderadiel";"2010";"2250";"1400";"1850";"2000";"2050";"2550";"0.0";"3050";"2250";"2500";"2550";"2900";"3500"
"Ferwerderadiel";"2011";"1750";"1100";"1450";"1550";"1600";"2000";"0.0";"3100";"2150";"2550";"2700";"2950";"3550"
"Ferwerderadiel";"2012*";"1800";"1200";"1500";"1650";"1650";"2050";"0.0";"3050";"2550";"2550";"2600";"2850";"3450"
"Franekeradeel";"2010";"2100";"1250";"1850";"2100";"2100";"2600";"0.0";"3000";"1650";"2650";"2800";"2950";"3750"
"Franekeradeel";"2011";"1650";"900";"1450";"1650";"1650";"2100";"0.0";"3050";"1800";"2700";"2850";"2950";"3800"
"Franekeradeel";"2012*";"1800";"1050";"1550";"1750";"1750";"2150";"0.0";"2950";"1800";"2650";"2800";"2950";"3650"
"Gaasterlân-Sleat";"2010";"2250";"1200";"1900";"2000";"2100";"2600";"0.0";"3200";"1600";"2700";"2600";"3150";"3700"
"Gaasterlân-Sleat";"2011";"1750";"900";"1500";"1550";"1650";"2050";"0.0";"3250";"1550";"2750";"2600";"3200";"3750"
"Gaasterlân-Sleat";"2012*";"1900";"950";"1600";"1650";"1800";"2300";"0.0";"3150";"1750";"2700";"2550";"3050";"3700"
"Geertruidenberg";"2010";"1950";"1050";"1650";"1950";"2400";"3300";"6.0";"3550";"2300";"3400";"3550";"4000";"4900"
"Geertruidenberg";"2011";"1450";"800";"1250";"1450";"1750";"2500";"5.0";"3450";"2300";"3350";"3450";"3900";"4800"
"Geertruidenberg";"2012*";"1500";"850";"1350";"1550";"1900";"2700";"6.0";"3450";"2300";"3350";"3400";"3850";"4750"
"Geldermalsen";"2010";"2300";"1200";"1650";"1950";"2350";"3200";"0.0";"3950";"2300";"3300";"3550";"4150";"4850"
"Geldermalsen";"2011";"1850";"900";"1300";"1600";"1850";"2550";"0.0";"4000";"2350";"3350";"3600";"4150";"4900"
"Geldermalsen";"2012*";"1900";"1000";"1350";"1600";"1950";"2650";"0.0";"3800";"2300";"3250";"3450";"4000";"4750"
"Geldrop-Mierlo";"2010";"2050";"1300";"1850";"2100";"2550";"3500";"0.0";"3550";"2200";"3550";"3700";"4150";"5050"
"Geldrop-Mierlo";"2011";"1600";"1050";"1400";"1650";"2000";"2700";"0.0";"3550";"2200";"3500";"3700";"4150";"5000"
"Geldrop-Mierlo";"2012*";"1750";"1100";"1500";"1750";"2100";"2900";"0.0";"3500";"2150";"3450";"3650";"4050";"4950"
"Gemert-Bakel";"2010";"2150";"1150";"1700";"1850";"2250";"2950";"0.0";"4000";"2500";"3400";"3550";"4300";"5000"
"Gemert-Bakel";"2011";"1700";"900";"1300";"1450";"1800";"2350";"0.0";"4000";"2450";"3400";"3500";"4300";"5000"
"Gemert-Bakel";"2012*";"1750";"900";"1450";"1550";"1850";"2450";"0.0";"3850";"2300";"3400";"3450";"4150";"4850"
"Gennep";"2010";"2300";"1250";"1850";"2050";"2300";"3050";"0.0";"3900";"2600";"3400";"3550";"4000";"4750"
"Gennep";"2011";"1750";"900";"1350";"1500";"1750";"2350";"0.0";"3800";"2600";"3350";"3450";"3900";"4650"
"Gennep";"2012*";"1850";"950";"1450";"1600";"1850";"2500";"0.0";"3750";"2600";"3300";"3400";"3900";"4550"
"Giessenlanden";"2010";"2300";"1100";"1750";"2000";"2400";"3150";"0.0";"3850";"2200";"3250";"3550";"4050";"4800"
"Giessenlanden";"2011";"1800";"850";"1400";"1600";"1900";"2500";"0.0";"3800";"2150";"3250";"3500";"4000";"4750"
"Giessenlanden";"2012*";"1850";"950";"1450";"1600";"2000";"2650";"0.0";"3750";"2150";"3200";"3400";"3950";"4700"
"Gilze en Rijen";"2010";"2000";"1050";"1700";"1900";"2250";"2950";"0.0";"3700";"2200";"3450";"3500";"3950";"4850"
"Gilze en Rijen";"2011";"1550";"750";"1300";"1450";"1750";"2250";"0.0";"3700";"2250";"3400";"3450";"3950";"4900"
"Gilze en Rijen";"2012*";"1700";"800";"1400";"1550";"1850";"2450";"0.0";"3650";"2300";"3350";"3450";"3900";"4900"
"Goedereede";"2010";"2250";"1250";"1750";"1950";"2150";"2900";"0.0";"3800";"2550";"3150";"3600";"3800";"4550"
"Goedereede";"2011";"1700";"1000";"1350";"1500";"1700";"2250";"0.0";"3750";"2550";"3100";"3550";"3800";"4500"
"Goedereede";"2012*";"1800";"1050";"1400";"1600";"1800";"2350";"0.0";"3600";"2400";"3050";"3450";"3800";"4450"
"Goes";"2010";"1750";"1100";"1550";"1800";"2000";"2500";"0.0";"3150";"2050";"2900";"3050";"3550";"4450"
"Goes";"2011";"1350";"900";"1200";"1400";"1600";"2000";"0.0";"3100";"2000";"2900";"3050";"3550";"4400"
"Goes";"2012*";"1400";"850";"1300";"1500";"1700";"2050";"0.0";"3000";"1950";"2850";"3000";"3450";"4100"
"Goirle";"2010";"2100";"1100";"1750";"2000";"2350";"3400";"0.0";"3800";"2850";"3700";"3700";"3850";"5000"
"Goirle";"2011";"1600";"700";"1400";"1550";"1800";"2700";"0.0";"3850";"2950";"3650";"3700";"3850";"5050"
"Goirle";"2012*";"1700";"900";"1500";"1700";"1900";"2900";"0.0";"3750";"2900";"3650";"3650";"3800";"4950"
"Gorinchem";"2010";"1700";"1350";"1600";"1950";"2300";"3050";"0.0";"3100";"2300";"3350";"3550";"4250";"4950"
"Gorinchem";"2011";"1250";"1000";"1200";"1450";"1800";"2350";"0.0";"3050";"2250";"3300";"3450";"4200";"4950"
"Gorinchem";"2012*";"1350";"1100";"1300";"1550";"1850";"2500";"0.0";"3050";"2250";"3200";"3450";"4150";"4900"
"Gouda";"2010";"1650";"1250";"1700";"2050";"2600";"3550";"0.0";"3000";"2200";"3300";"3500";"4050";"4850"
"Gouda";"2011";"1250";"950";"1300";"1600";"2000";"2750";"0.0";"2950";"2200";"3250";"3450";"4000";"4900"
"Gouda";"2012*";"1350";"1050";"1350";"1650";"2100";"2850";"0.0";"2900";"2150";"3200";"3350";"3900";"4950"
"Graafstroom";"2010";"2300";"1150";"1800";"2000";"2500";"3150";"0.0";"3750";"2000";"3200";"3350";"4000";"4750"
"Graafstroom";"2011";"1800";"900";"1400";"1500";"1950";"2450";"0.0";"3700";"1950";"3150";"3250";"3950";"4650"
"Graafstroom";"2012*";"1850";"900";"1450";"1550";"2050";"2600";"0.0";"3600";"1850";"3100";"3200";"3850";"4600"
"Graft-De Rijp";"2010";"2300";"1150";"1850";"2150";"2600";"2900";"0.0";"3800";"2600";"3500";"3550";"3850";"4350"
"Graft-De Rijp";"2011";"1800";"850";"1450";"1700";"2050";"2300";"0.0";"3800";"2650";"3500";"3600";"3800";"4350"
"Graft-De Rijp";"2012*";"1900";"1000";"1550";"1800";"2150";"2450";"0.0";"3650";"2650";"3400";"3500";"3850";"4200"
"Grave";"2010";"2100";"1250";"1850";"2000";"2300";"3100";"0.0";"3750";"2450";"3450";"3500";"4150";"5150"
"Grave";"2011";"1650";"1000";"1450";"1550";"1800";"2400";"0.0";"3650";"2300";"3400";"3500";"4050";"5000"
"Grave";"2012*";"1750";"1050";"1500";"1650";"1900";"2550";"0.0";"3650";"2350";"3350";"3400";"3950";"4900"
"'s-Gravenhage (gemeente)";"2010";"1550";"1450";"1600";"1800";"2000";"2500";"7.0";"2700";"2350";"3400";"3750";"4700";"5300"
"'s-Gravenhage (gemeente)";"2011";"1200";"1150";"1250";"1400";"1600";"2000";"7.0";"2700";"2300";"3400";"3750";"4700";"5300"
"'s-Gravenhage (gemeente)";"2012*";"1250";"1200";"1350";"1500";"1750";"2150";"7.0";"2600";"2300";"3400";"3700";"4600";"5200"
"Groesbeek";"2010";"2350";"1150";"1700";"1950";"2550";"3400";"0.0";"3600";"2200";"3050";"3100";"4050";"4800"
"Groesbeek";"2011";"1850";"950";"1350";"1550";"2050";"2800";"0.0";"3650";"2300";"3050";"3150";"4100";"4850"
"Groesbeek";"2012*";"1800";"950";"1350";"1600";"2100";"2800";"0.0";"3400";"2150";"2950";"3000";"3950";"4600"
"Groningen (gemeente)";"2010";"1700";"1450";"1750";"2050";"2200";"3050";"0.0";"2600";"2100";"2850";"3100";"3800";"4500"
"Groningen (gemeente)";"2011";"1350";"1150";"1350";"1600";"1750";"2400";"0.0";"2550";"2050";"2850";"3100";"3850";"4500"
"Groningen (gemeente)";"2012*";"1500";"1300";"1500";"1750";"1900";"2600";"0.0";"2600";"2100";"2850";"3100";"3800";"4400"
"Grootegast";"2010";"2500";"1300";"1900";"2150";"2200";"2800";"0.0";"3650";"1950";"2600";"2800";"3650";"4100"
"Grootegast";"2011";"2000";"1000";"1550";"1650";"1750";"2250";"0.0";"3600";"1950";"2550";"2750";"3650";"4150"
"Grootegast";"2012*";"2100";"1150";"1600";"1800";"1900";"2400";"0.0";"3550";"2000";"2500";"2750";"3600";"4050"
"Gulpen-Wittem";"2010";"2550";"1500";"2050";"2300";"2650";"3250";"0.0";"3750";"2250";"3500";"3700";"3950";"4500"
"Gulpen-Wittem";"2011";"1900";"1150";"1600";"1750";"2050";"2500";"0.0";"3650";"2250";"3400";"3600";"3850";"4400"
"Gulpen-Wittem";"2012*";"2050";"1250";"1750";"1850";"2200";"2700";"0.0";"3550";"2200";"3400";"3500";"3750";"4250"
"Haaksbergen";"2010";"2300";"1200";"1800";"2050";"2350";"3000";"0.0";"3850";"2100";"3350";"3600";"4050";"4750"
"Haaksbergen";"2011";"1800";"900";"1400";"1600";"1900";"2350";"0.0";"3900";"2150";"3350";"3650";"4150";"4800"
"Haaksbergen";"2012*";"1850";"950";"1500";"1700";"2000";"2550";"0.0";"3800";"2150";"3350";"3600";"4100";"4700"
"Haaren";"2010";"2650";"1250";"1950";"2000";"2450";"3350";"0.0";"4300";"2150";"3750";"3700";"4150";"5000"
"Haaren";"2011";"2000";"900";"1450";"1550";"1800";"2550";"0.0";"4250";"2250";"3700";"3700";"4050";"5000"
"Haaren";"2012*";"2200";"950";"1600";"1650";"2000";"2750";"0.0";"4150";"2200";"3600";"3650";"3950";"4850"
"Haarlem";"2010";"1750";"1400";"1900";"2250";"2600";"3250";"0.0";"2750";"2250";"3050";"3250";"3600";"4200"
"Haarlem";"2011";"1400";"1100";"1500";"1800";"2100";"2650";"0.0";"2750";"2250";"3100";"3300";"3650";"4300"
"Haarlem";"2012*";"1500";"1200";"1600";"1900";"2200";"2750";"0.0";"2700";"2200";"3000";"3200";"3600";"4100"
"Haarlemmerliede en Spaarnwoude";"2010";"2050";"1250";"1850";"2300";"2650";"3200";"0.0";"3750";"2400";"3750";"3900";"4250";"5000"
"Haarlemmerliede en Spaarnwoude";"2011";"1550";"950";"1400";"1700";"2050";"2400";"0.0";"3700";"2400";"3750";"3900";"4150";"4650"
"Haarlemmerliede en Spaarnwoude";"2012*";"1700";"1000";"1500";"1850";"2200";"2550";"0.0";"3700";"2350";"3650";"3850";"4150";"4600"
"Haarlemmermeer";"2010";"1750";"1150";"1600";"1950";"2500";"3100";"0.0";"3650";"2250";"3750";"3900";"4450";"5200"
"Haarlemmermeer";"2011";"1500";"950";"1400";"1650";"2100";"2600";"0.0";"3650";"2250";"3750";"3900";"4450";"5200"
"Haarlemmermeer";"2012*";"1500";"1000";"1400";"1650";"2200";"2700";"0.0";"3550";"2250";"3650";"3800";"4400";"5100"
"Halderberge";"2010";"2300";"1200";"1850";"2150";"2400";"2950";"0.0";"3750";"2150";"3250";"3500";"3950";"4750"
"Halderberge";"2011";"1750";"950";"1400";"1650";"1900";"2350";"0.0";"3750";"2150";"3200";"3450";"3950";"4750"
"Halderberge";"2012*";"1900";"1100";"1550";"1800";"2050";"2550";"0.0";"3650";"2100";"3150";"3400";"3850";"4650"
"Hardenberg";"2010";"2300";"1350";"1900";"2100";"2350";"3000";"0.0";"3800";"2450";"3200";"3350";"4050";"4600"
"Hardenberg";"2011";"1900";"1050";"1550";"1750";"1950";"2500";"0.0";"3850";"2450";"3200";"3350";"4050";"4600"
"Hardenberg";"2012*";"2000";"1000";"1600";"1850";"2050";"2700";"0.0";"3750";"2400";"3150";"3300";"4050";"4600"
"Harderwijk";"2010";"1850";"1200";"1650";"2050";"2400";"3300";"0.0";"3400";"2400";"3300";"3600";"4200";"5100"
"Harderwijk";"2011";"1450";"900";"1300";"1600";"1850";"2600";"0.0";"3350";"2350";"3250";"3550";"4150";"5000"
"Harderwijk";"2012*";"1500";"1000";"1350";"1700";"1950";"2750";"0.0";"3250";"2300";"3200";"3500";"4050";"4900"
"Hardinxveld-Giessendam";"2010";"1850";"1050";"1750";"2000";"2100";"2700";"0.0";"3450";"2150";"3450";"3600";"3850";"4400"
"Hardinxveld-Giessendam";"2011";"1450";"800";"1350";"1550";"1700";"2150";"0.0";"3400";"2150";"3450";"3550";"3850";"4350"
"Hardinxveld-Giessendam";"2012*";"1500";"850";"1400";"1600";"1750";"2250";"0.0";"3300";"2100";"3300";"3450";"3800";"4250"
