"gemeente","dwel_type","class_2","class_1","class_3"
"Losser","tussenwoning",3200,2560,3840
"Maasdonk","tussenwoning",3750,3000,4500
"Maasdriel","tussenwoning",3150,2520,3780
"Maasgouw","tussenwoning",3450,2760,4140
"Maassluis","tussenwoning",3500,2800,4200
"Maastricht","tussenwoning",3200,2560,3840
"De Marne","tussenwoning",2550,2040,3060
"Marum","tussenwoning",2600,2080,3120
"Medemblik","tussenwoning",3250,2600,3900
"Meerssen","tussenwoning",3450,2760,4140
"Menameradiel","tussenwoning",2600,2080,3120
"Menterwolde","tussenwoning",2700,2160,3240
"Meppel","tussenwoning",3050,2440,3660
"Middelburg (Z.)","tussenwoning",2800,2240,3360
"Middelharnis","tussenwoning",3000,2400,3600
"Midden-Delfland","tussenwoning",3500,2800,4200
"Midden-Drenthe","tussenwoning",2800,2240,3360
"Mill en Sint Hubert","tussenwoning",3350,2680,4020
"Millingen aan de Rijn","tussenwoning",2850,2280,3420
"Moerdijk","tussenwoning",3250,2600,3900
"Montferland","tussenwoning",3050,2440,3660
"Montfoort","tussenwoning",3450,2760,4140
"Mook en Middelaar","tussenwoning",3350,2680,4020
"Muiden","tussenwoning",3350,2680,4020
"Naarden","tussenwoning",3350,2680,4020
"Neder-Betuwe","tussenwoning",3100,2480,3720
"Nederlek","tussenwoning",3100,2480,3720
"Nederweert","tussenwoning",3650,2920,4380
"Neerijnen","tussenwoning",3250,2600,3900
"Nieuwegein","tussenwoning",3650,2920,4380
"Nieuwkoop","tussenwoning",3450,2760,4140
"Nieuw-Lekkerland","tussenwoning",3100,2480,3720
"Nijkerk","tussenwoning",3200,2560,3840
"Nijmegen","tussenwoning",3050,2440,3660
"Noord-Beveland","tussenwoning",2600,2080,3120
"Noordenveld","tussenwoning",2900,2320,3480
"Noordoostpolder","tussenwoning",3050,2440,3660
"Noordwijk","tussenwoning",3350,2680,4020
"Noordwijkerhout","tussenwoning",3300,2640,3960
"Nuenen, Gerwen en Nederwetten","tussenwoning",3500,2800,4200
"Nunspeet","tussenwoning",3150,2520,3780
"Nuth","tussenwoning",3450,2760,4140
"Oegstgeest","tussenwoning",3450,2760,4140
"Oirschot","tussenwoning",3650,2920,4380
"Oisterwijk","tussenwoning",3550,2840,4260
"Oldambt","tussenwoning",2700,2160,3240
"Oldebroek","tussenwoning",3000,2400,3600
"Oldenzaal","tussenwoning",3350,2680,4020
"Olst-Wijhe","tussenwoning",3000,2400,3600
"Ommen","tussenwoning",3200,2560,3840
"Onderbanken","tussenwoning",3550,2840,4260
"Oost Gelre","tussenwoning",3050,2440,3660
"Oosterhout","tussenwoning",3450,2760,4140
"Oostflakkee","tussenwoning",2950,2360,3540
"Ooststellingwerf","tussenwoning",2550,2040,3060
"Oostzaan","tussenwoning",3450,2760,4140
"Opmeer","tussenwoning",3100,2480,3720
"Opsterland","tussenwoning",2600,2080,3120
"Oss","tussenwoning",3400,2720,4080
"Oud-Beijerland","tussenwoning",3400,2720,4080
"Oude IJsselstreek","tussenwoning",2950,2360,3540
"Ouder-Amstel","tussenwoning",3550,2840,4260
"Ouderkerk","tussenwoning",3200,2560,3840
"Oudewater","tussenwoning",3300,2640,3960
"Overbetuwe","tussenwoning",3200,2560,3840
"Papendrecht","tussenwoning",3500,2800,4200
"Peel en Maas","tussenwoning",3500,2800,4200
"Pekela","tussenwoning",2900,2320,3480
"Pijnacker-Nootdorp","tussenwoning",3650,2920,4380
"Purmerend","tussenwoning",3550,2840,4260
"Putten","tussenwoning",3100,2480,3720
"Raalte","tussenwoning",3200,2560,3840
"Reimerswaal","tussenwoning",2700,2160,3240
"Renkum","tussenwoning",3100,2480,3720
"Renswoude","tussenwoning",3500,2800,4200
"Reusel-De Mierden","tussenwoning",3500,2800,4200
"Rheden","tussenwoning",2950,2360,3540
"Rhenen","tussenwoning",3250,2600,3900
"Ridderkerk","tussenwoning",3350,2680,4020
"Rijnwaarden","tussenwoning",2900,2320,3480
"Rijnwoude","tussenwoning",3300,2640,3960
"Rijssen-Holten","tussenwoning",3150,2520,3780
"Rijswijk (ZH.)","tussenwoning",3500,2800,4200
"Roerdalen","tussenwoning",3400,2720,4080
"Roermond","tussenwoning",3200,2560,3840
"De Ronde Venen","tussenwoning",3650,2920,4380
"Roosendaal","tussenwoning",3300,2640,3960
"Rotterdam","tussenwoning",3100,2480,3720
"Rozendaal","tussenwoning",3650,2920,4380
"Rucphen","tussenwoning",3350,2680,4020
"Schagen","tussenwoning",3100,2480,3720
"Schermer","tussenwoning",3450,2760,4140
"Scherpenzeel","tussenwoning",3350,2680,4020
"Schiedam","tussenwoning",3300,2640,3960
"Schiermonnikoog","tussenwoning",2100,1680,2520
"Schijndel","tussenwoning",3500,2800,4200
"Schinnen","tussenwoning",3550,2840,4260
"Schoonhoven","tussenwoning",3100,2480,3720
"Schouwen-Duiveland","tussenwoning",2900,2320,3480
"Simpelveld","tussenwoning",3300,2640,3960
"Sint Anthonis","tussenwoning",3050,2440,3660
"Sint-Michielsgestel","tussenwoning",3450,2760,4140
"Sint-Oedenrode","tussenwoning",3550,2840,4260
"Sittard-Geleen","tussenwoning",3400,2720,4080
"Skarsterlân","tussenwoning",2500,2000,3000
"Sliedrecht","tussenwoning",3200,2560,3840
"Slochteren","tussenwoning",2700,2160,3240
"Sluis","tussenwoning",2600,2080,3120
"Smallingerland","tussenwoning",2750,2200,3300
"Soest","tussenwoning",3500,2800,4200
"Someren","tussenwoning",3600,2880,4320
"Son en Breugel","tussenwoning",3800,3040,4560
"Spijkenisse","tussenwoning",3550,2840,4260
"Stadskanaal","tussenwoning",2850,2280,3420
"Staphorst","tussenwoning",3500,2800,4200
"Stede Broec","tussenwoning",3250,2600,3900
"Steenbergen","tussenwoning",3350,2680,4020
"Steenwijkerland","tussenwoning",2800,2240,3360
"Stein (L.)","tussenwoning",3300,2640,3960
"Stichtse Vecht","tussenwoning",3550,2840,4260
"Strijen","tussenwoning",3200,2560,3840
"Sudwest-Fryslan","tussenwoning",2700,2160,3240
"Terneuzen","tussenwoning",2750,2200,3300
"Terschelling","tussenwoning",2750,2200,3300
"Texel","tussenwoning",2900,2320,3480
"Teylingen","tussenwoning",3500,2800,4200
"Tholen","tussenwoning",3050,2440,3660
"Tiel","tussenwoning",3350,2680,4020
"Tilburg","tussenwoning",3350,2680,4020
"Tubbergen","tussenwoning",3150,2520,3780
"Twenterand","tussenwoning",3200,2560,3840
"Tynaarlo","tussenwoning",2850,2280,3420
"Tytsjerksteradiel","tussenwoning",2650,2120,3180
"Ubbergen","tussenwoning",2850,2280,3420
"Uden","tussenwoning",3550,2840,4260
"Uitgeest","tussenwoning",3400,2720,4080
"Uithoorn","tussenwoning",3550,2840,4260
"Urk","tussenwoning",3700,2960,4440
"Utrecht (gemeente)","tussenwoning",3050,2440,3660
"Utrechtse Heuvelrug","tussenwoning",3250,2600,3900
"Vaals","tussenwoning",3000,2400,3600
"Valkenburg aan de Geul","tussenwoning",3300,2640,3960
"Valkenswaard","tussenwoning",3350,2680,4020
"Veendam","tussenwoning",2950,2360,3540
"Veenendaal","tussenwoning",3550,2840,4260
"Veere","tussenwoning",2800,2240,3360
"Veghel","tussenwoning",3500,2800,4200
"Veldhoven","tussenwoning",3450,2760,4140
"Velsen","tussenwoning",3300,2640,3960
"Venlo","tussenwoning",3350,2680,4020
"Venray","tussenwoning",3450,2760,4140
"Vianen","tussenwoning",3400,2720,4080
"Vlaardingen","tussenwoning",3300,2640,3960
"Vlagtwedde","tussenwoning",2800,2240,3360
"Vlieland","tussenwoning",2850,2280,3420
"Vlissingen","tussenwoning",2900,2320,3480
"Vlist","tussenwoning",3050,2440,3660
"Voerendaal","tussenwoning",3400,2720,4080
"Voorschoten","tussenwoning",3400,2720,4080
"Voorst","tussenwoning",2950,2360,3540
"Vught","tussenwoning",3300,2640,3960
"Waalre","tussenwoning",3450,2760,4140
"Waalwijk","tussenwoning",3200,2560,3840
"Waddinxveen","tussenwoning",3400,2720,4080
"Wageningen","tussenwoning",3000,2400,3600
"Wassenaar","tussenwoning",3350,2680,4020
"Waterland","tussenwoning",3400,2720,4080
"Weert","tussenwoning",3300,2640,3960
"Weesp","tussenwoning",3200,2560,3840
"Werkendam","tussenwoning",3200,2560,3840
"West Maas en Waal","tussenwoning",3000,2400,3600
"Westerveld","tussenwoning",2700,2160,3240
"Westervoort","tussenwoning",3200,2560,3840
"Westland","tussenwoning",3550,2840,4260
"Weststellingwerf","tussenwoning",2650,2120,3180
"Westvoorne","tussenwoning",3350,2680,4020
"Wierden","tussenwoning",3300,2640,3960
"Wijchen","tussenwoning",3300,2640,3960
"Wijdemeren","tussenwoning",3350,2680,4020
"Wijk bij Duurstede","tussenwoning",3600,2880,4320
"Winsum","tussenwoning",2900,2320,3480
"Winterswijk","tussenwoning",3050,2440,3660
"Woensdrecht","tussenwoning",3350,2680,4020
"Woerden","tussenwoning",3350,2680,4020
"De Wolden","tussenwoning",2800,2240,3360
"Wormerland","tussenwoning",3350,2680,4020
"Woudenberg","tussenwoning",3300,2640,3960
"Woudrichem","tussenwoning",3200,2560,3840
"Zaanstad","tussenwoning",3200,2560,3840
"Zaltbommel","tussenwoning",3200,2560,3840
"Zandvoort","tussenwoning",3250,2600,3900
"Zederik","tussenwoning",3150,2520,3780
"Zeevang","tussenwoning",3500,2800,4200
"Zeewolde","tussenwoning",3500,2800,4200
"Zeist","tussenwoning",3250,2600,3900
"Zevenaar","tussenwoning",3100,2480,3720
"Zijpe","tussenwoning",3150,2520,3780
"Zoetermeer","tussenwoning",3650,2920,4380
"Zoeterwoude","tussenwoning",3550,2840,4260
"Zuidhorn","tussenwoning",2850,2280,3420
"Zuidplas","tussenwoning",3550,2840,4260
"Zundert","tussenwoning",3500,2800,4200
"Zutphen","tussenwoning",3050,2440,3660
"Zwartewaterland","tussenwoning",3150,2520,3780
"Zwijndrecht","tussenwoning",3350,2680,4020
"Zwolle","tussenwoning",3150,2520,3780
"Aa en Hunze","hoekwoning",2950,2360,3540
"Aalburg","hoekwoning",3500,2800,4200
"Aalsmeer","hoekwoning",3750,3000,4500
"Aalten","hoekwoning",3000,2400,3600
"Achtkarspelen","hoekwoning",2700,2160,3240
"Alblasserdam","hoekwoning",3450,2760,4140
"Albrandswaard","hoekwoning",3600,2880,4320
"Alkmaar","hoekwoning",3300,2640,3960
"Almelo","hoekwoning",3350,2680,4020
"Almere","hoekwoning",3800,3040,4560
"Alphen aan den Rijn","hoekwoning",3700,2960,4440
"Alphen-Chaam","hoekwoning",3450,2760,4140
"Ameland","hoekwoning",2800,2240,3360
"Amersfoort","hoekwoning",3450,2760,4140
"Amstelveen","hoekwoning",3850,3080,4620
"Amsterdam","hoekwoning",3200,2560,3840
"Apeldoorn","hoekwoning",3300,2640,3960
"Appingedam","hoekwoning",2850,2280,3420
"Arnhem","hoekwoning",3200,2560,3840
"Assen","hoekwoning",3200,2560,3840
"Asten","hoekwoning",3650,2920,4380
"Baarle-Nassau","hoekwoning",3400,2720,4080
"Baarn","hoekwoning",3450,2760,4140
"Barendrecht","hoekwoning",3850,3080,4620
"Barneveld","hoekwoning",3650,2920,4380
"Bedum","hoekwoning",3000,2400,3600
"Beek (L.)","hoekwoning",3750,3000,4500
"Beemster","hoekwoning",3350,2680,4020
"Beesel","hoekwoning",3400,2720,4080
"Bellingwedde","hoekwoning",2600,2080,3120
"Bergambacht","hoekwoning",3400,2720,4080
"Bergeijk","hoekwoning",3500,2800,4200
"Bergen (L.)","hoekwoning",3550,2840,4260
"Bergen (NH.)","hoekwoning",3300,2640,3960
"Bergen op Zoom","hoekwoning",3400,2720,4080
"Berkelland","hoekwoning",3050,2440,3660
"Bernheze","hoekwoning",3550,2840,4260
"Bernisse","hoekwoning",3650,2920,4380
"Best","hoekwoning",3950,3160,4740
"Beuningen","hoekwoning",3600,2880,4320
"Beverwijk","hoekwoning",3550,2840,4260
"het Bildt","hoekwoning",2550,2040,3060
"De Bilt","hoekwoning",3600,2880,4320
"Binnenmaas","hoekwoning",3450,2760,4140
"Bladel","hoekwoning",3400,2720,4080
"Blaricum","hoekwoning",3450,2760,4140
"Bloemendaal","hoekwoning",3850,3080,4620
"Boarnsterhim","hoekwoning",2600,2080,3120
"Bodegraven-Reeuwijk","hoekwoning",3600,2880,4320
"Boekel","hoekwoning",3600,2880,4320
"Ten Boer","hoekwoning",3100,2480,3720
"Borger-Odoorn","hoekwoning",3050,2440,3660
"Borne","hoekwoning",3600,2880,4320
"Borsele","hoekwoning",2950,2360,3540
"Boskoop","hoekwoning",3500,2800,4200
"Boxmeer","hoekwoning",3400,2720,4080
"Boxtel","hoekwoning",3550,2840,4260
"Breda","hoekwoning",3600,2880,4320
"Brielle","hoekwoning",3550,2840,4260
"Bronckhorst","hoekwoning",3050,2440,3660
"Brummen","hoekwoning",3050,2440,3660
"Brunssum","hoekwoning",3450,2760,4140
"Bunnik","hoekwoning",3700,2960,4440
"Bunschoten","hoekwoning",4050,3240,4860
"Buren","hoekwoning",3350,2680,4020
"Bussum","hoekwoning",3700,2960,4440
"Capelle aan den IJssel","hoekwoning",3800,3040,4560
"Castricum","hoekwoning",3450,2760,4140
"Coevorden","hoekwoning",3100,2480,3720
"Cranendonck","hoekwoning",3350,2680,4020
"Cromstrijen","hoekwoning",3400,2720,4080
"Cuijk","hoekwoning",3450,2760,4140
"Culemborg","hoekwoning",3350,2680,4020
"Dalfsen","hoekwoning",3200,2560,3840
"Dantumadiel","hoekwoning",2500,2000,3000
"Delft","hoekwoning",3250,2600,3900
"Delfzijl","hoekwoning",3050,2440,3660
"Deurne","hoekwoning",3450,2760,4140
"Deventer","hoekwoning",3250,2600,3900
"Diemen","hoekwoning",3900,3120,4680
"Dinkelland","hoekwoning",3550,2840,4260
"Dirksland","hoekwoning",3300,2640,3960
"Doesburg","hoekwoning",3150,2520,3780
"Doetinchem","hoekwoning",3200,2560,3840
"Dongen","hoekwoning",3550,2840,4260
"Dongeradeel","hoekwoning",2500,2000,3000
"Dordrecht","hoekwoning",3550,2840,4260
"Drechterland","hoekwoning",3200,2560,3840
"Drimmelen","hoekwoning",3400,2720,4080
"Dronten","hoekwoning",3500,2800,4200
"Druten","hoekwoning",3300,2640,3960
"Duiven","hoekwoning",3400,2720,4080
"Echt-Susteren","hoekwoning",3500,2800,4200
"Edam-Volendam","hoekwoning",4000,3200,4800
"Ede","hoekwoning",3500,2800,4200
"Eemnes","hoekwoning",3550,2840,4260
"Eemsmond","hoekwoning",2600,2080,3120
"Eersel","hoekwoning",3400,2720,4080
"Eijsden-Margraten","hoekwoning",3750,3000,4500
"Eindhoven","hoekwoning",3400,2720,4080
"Elburg","hoekwoning",3350,2680,4020
"Emmen","hoekwoning",3150,2520,3780
"Enkhuizen","hoekwoning",3250,2600,3900
"Enschede","hoekwoning",3450,2760,4140
"Epe","hoekwoning",3250,2600,3900
"Ermelo","hoekwoning",3250,2600,3900
"Etten-Leur","hoekwoning",3550,2840,4260
"Ferwerderadiel","hoekwoning",2600,2080,3120
"Franekeradeel","hoekwoning",2800,2240,3360
"Gaasterlan-Sleat","hoekwoning",2550,2040,3060
"Geertruidenberg","hoekwoning",3400,2720,4080
"Geldermalsen","hoekwoning",3450,2760,4140
"Geldrop-Mierlo","hoekwoning",3650,2920,4380
"Gemert-Bakel","hoekwoning",3450,2760,4140
"Gennep","hoekwoning",3400,2720,4080
"Giessenlanden","hoekwoning",3400,2720,4080
"Gilze en Rijen","hoekwoning",3450,2760,4140
"Goedereede","hoekwoning",3450,2760,4140
"Goes","hoekwoning",3000,2400,3600
"Goirle","hoekwoning",3650,2920,4380
"Gorinchem","hoekwoning",3450,2760,4140
"Gouda","hoekwoning",3350,2680,4020
"Graafstroom","hoekwoning",3200,2560,3840
"Graft-De Rijp","hoekwoning",3500,2800,4200
"Grave","hoekwoning",3400,2720,4080
"'s-Gravenhage (gemeente)","hoekwoning",3700,2960,4440
"Groesbeek","hoekwoning",3000,2400,3600
"Groningen (gemeente)","hoekwoning",3100,2480,3720
"Grootegast","hoekwoning",2750,2200,3300
"Gulpen-Wittem","hoekwoning",3500,2800,4200
"Haaksbergen","hoekwoning",3600,2880,4320
"Haaren","hoekwoning",3650,2920,4380
"Haarlem","hoekwoning",3200,2560,3840
"Haarlemmerliede en Spaarnwoude","hoekwoning",3850,3080,4620
"Haarlemmermeer","hoekwoning",3800,3040,4560
"Halderberge","hoekwoning",3400,2720,4080
"Hardenberg","hoekwoning",3300,2640,3960
"Harderwijk","hoekwoning",3500,2800,4200
"Hardinxveld-Giessendam","hoekwoning",3450,2760,4140
"Haren","hoekwoning",2950,2360,3540
"Harenkarspel","hoekwoning",3300,2640,3960
"Harlingen","hoekwoning",2900,2320,3480
"Hattem","hoekwoning",3100,2480,3720
"Heemskerk","hoekwoning",3550,2840,4260
"Heemstede","hoekwoning",3650,2920,4380
"Heerde","hoekwoning",3100,2480,3720
"Heerenveen","hoekwoning",2900,2320,3480
"Heerhugowaard","hoekwoning",3550,2840,4260
"Heerlen","hoekwoning",3400,2720,4080
"Heeze-Leende","hoekwoning",3500,2800,4200
"Heiloo","hoekwoning",3400,2720,4080
"Den Helder","hoekwoning",3050,2440,3660
"Hellendoorn","hoekwoning",3400,2720,4080
"Hellevoetsluis","hoekwoning",3700,2960,4440
"Helmond","hoekwoning",3550,2840,4260
"Hendrik-Ido-Ambacht","hoekwoning",3700,2960,4440
"Hengelo (O.)","hoekwoning",3500,2800,4200
"'s-Hertogenbosch","hoekwoning",3550,2840,4260
"Heumen","hoekwoning",3400,2720,4080
"Heusden","hoekwoning",3650,2920,4380
"Hillegom","hoekwoning",3400,2720,4080
"Hilvarenbeek","hoekwoning",3550,2840,4260
"Hilversum","hoekwoning",3400,2720,4080
"Hof van Twente","hoekwoning",3250,2600,3900
"Hollands Kroon","hoekwoning",3250,2600,3900
"Hoogeveen","hoekwoning",3250,2600,3900
"Hoogezand-Sappemeer","hoekwoning",3200,2560,3840
"Hoorn","hoekwoning",3450,2760,4140
"Horst aan de Maas","hoekwoning",3650,2920,4380
"Houten","hoekwoning",3800,3040,4560
"Huizen","hoekwoning",3600,2880,4320
"Hulst","hoekwoning",2750,2200,3300
"IJsselstein","hoekwoning",3850,3080,4620
"Kaag en Braassem","hoekwoning",3550,2840,4260
"Kampen","hoekwoning",3200,2560,3840
"Kapelle","hoekwoning",3100,2480,3720
"Katwijk","hoekwoning",3750,3000,4500
"Kerkrade","hoekwoning",3500,2800,4200
"Koggenland","hoekwoning",3550,2840,4260
"Kollumerland en Nieuwkruisland","hoekwoning",2700,2160,3240
"Korendijk","hoekwoning",3250,2600,3900
"Krimpen aan den IJssel","hoekwoning",3450,2760,4140
"Laarbeek","hoekwoning",3350,2680,4020
"Landerd","hoekwoning",3500,2800,4200
"Landgraaf","hoekwoning",3500,2800,4200
"Landsmeer","hoekwoning",3550,2840,4260
"Langedijk","hoekwoning",3450,2760,4140
"Lansingerland","hoekwoning",3800,3040,4560
"Laren (NH.)","hoekwoning",3500,2800,4200
"Leek","hoekwoning",3200,2560,3840
"Leerdam","hoekwoning",3300,2640,3960
"Leeuwarden","hoekwoning",3000,2400,3600
"Leeuwarderadeel","hoekwoning",2900,2320,3480
"Leiden","hoekwoning",3350,2680,4020
"Leiderdorp","hoekwoning",3550,2840,4260
"Leidschendam-Voorburg","hoekwoning",3800,3040,4560
"Lelystad","hoekwoning",3400,2720,4080
"Lemsterland","hoekwoning",2850,2280,3420
"Leudal","hoekwoning",3650,2920,4380
"Leusden","hoekwoning",3650,2920,4380
"Liesveld","hoekwoning",3250,2600,3900
"Lingewaal","hoekwoning",3300,2640,3960
"Lingewaard","hoekwoning",3500,2800,4200
"Lisse","hoekwoning",3550,2840,4260
"Littenseradiel","hoekwoning",2750,2200,3300
"Lochem","hoekwoning",3000,2400,3600
"Loon op Zand","hoekwoning",3600,2880,4320
"Lopik","hoekwoning",3650,2920,4380
"Loppersum","hoekwoning",2700,2160,3240
"Losser","hoekwoning",3450,2760,4140
"Maasdonk","hoekwoning",3600,2880,4320
"Maasdriel","hoekwoning",3300,2640,3960
"Maasgouw","hoekwoning",3500,2800,4200
"Maassluis","hoekwoning",3650,2920,4380
"Maastricht","hoekwoning",3400,2720,4080
"De Marne","hoekwoning",2650,2120,3180
"Marum","hoekwoning",2900,2320,3480
"Medemblik","hoekwoning",3300,2640,3960
"Meerssen","hoekwoning",3550,2840,4260
"Menameradiel","hoekwoning",2750,2200,3300
"Menterwolde","hoekwoning",2850,2280,3420
"Meppel","hoekwoning",3250,2600,3900
"Middelburg (Z.)","hoekwoning",2950,2360,3540
"Middelharnis","hoekwoning",3200,2560,3840
"Midden-Delfland","hoekwoning",3550,2840,4260
"Midden-Drenthe","hoekwoning",3050,2440,3660
"Mill en Sint Hubert","hoekwoning",3400,2720,4080
"Millingen aan de Rijn","hoekwoning",3100,2480,3720
"Moerdijk","hoekwoning",3350,2680,4020
"Montferland","hoekwoning",3250,2600,3900
"Montfoort","hoekwoning",3800,3040,4560
"Mook en Middelaar","hoekwoning",3550,2840,4260
"Muiden","hoekwoning",3650,2920,4380
"Naarden","hoekwoning",4050,3240,4860
"Neder-Betuwe","hoekwoning",3300,2640,3960
"Nederlek","hoekwoning",3250,2600,3900
"Nederweert","hoekwoning",3800,3040,4560
"Neerijnen","hoekwoning",3200,2560,3840
"Nieuwegein","hoekwoning",3800,3040,4560
"Nieuwkoop","hoekwoning",3500,2800,4200
"Nieuw-Lekkerland","hoekwoning",3350,2680,4020
"Nijkerk","hoekwoning",3600,2880,4320
"Nijmegen","hoekwoning",3250,2600,3900
"Noord-Beveland","hoekwoning",2750,2200,3300
"Noordenveld","hoekwoning",3100,2480,3720
"Noordoostpolder","hoekwoning",3350,2680,4020
"Noordwijk","hoekwoning",3650,2920,4380
"Noordwijkerhout","hoekwoning",3650,2920,4380
"Nuenen, Gerwen en Nederwetten","hoekwoning",3750,3000,4500
"Nunspeet","hoekwoning",3350,2680,4020
"Nuth","hoekwoning",3600,2880,4320
"Oegstgeest","hoekwoning",3800,3040,4560
"Oirschot","hoekwoning",3700,2960,4440
"Oisterwijk","hoekwoning",3550,2840,4260
"Oldambt","hoekwoning",2900,2320,3480
"Oldebroek","hoekwoning",3250,2600,3900
"Oldenzaal","hoekwoning",3600,2880,4320
"Olst-Wijhe","hoekwoning",3250,2600,3900
"Ommen","hoekwoning",3300,2640,3960
"Onderbanken","hoekwoning",3550,2840,4260
"Oost Gelre","hoekwoning",3100,2480,3720
"Oosterhout","hoekwoning",3650,2920,4380
"Oostflakkee","hoekwoning",3150,2520,3780
"Ooststellingwerf","hoekwoning",2800,2240,3360
"Oostzaan","hoekwoning",3750,3000,4500
"Opmeer","hoekwoning",3400,2720,4080
"Opsterland","hoekwoning",2900,2320,3480
"Oss","hoekwoning",3600,2880,4320
"Oud-Beijerland","hoekwoning",3600,2880,4320
"Oude IJsselstreek","hoekwoning",3100,2480,3720
"Ouder-Amstel","hoekwoning",3800,3040,4560
"Ouderkerk","hoekwoning",3400,2720,4080
"Oudewater","hoekwoning",3400,2720,4080
"Overbetuwe","hoekwoning",3400,2720,4080
"Papendrecht","hoekwoning",3650,2920,4380
"Peel en Maas","hoekwoning",3550,2840,4260
"Pekela","hoekwoning",2900,2320,3480
"Pijnacker-Nootdorp","hoekwoning",3800,3040,4560
"Purmerend","hoekwoning",3700,2960,4440
"Putten","hoekwoning",3300,2640,3960
"Raalte","hoekwoning",3300,2640,3960
"Reimerswaal","hoekwoning",2950,2360,3540
"Renkum","hoekwoning",3200,2560,3840
"Renswoude","hoekwoning",3600,2880,4320
"Reusel-De Mierden","hoekwoning",3500,2800,4200
"Rheden","hoekwoning",3150,2520,3780
"Rhenen","hoekwoning",3500,2800,4200
"Ridderkerk","hoekwoning",3550,2840,4260
"Rijnwaarden","hoekwoning",3250,2600,3900
"Rijnwoude","hoekwoning",3500,2800,4200
"Rijssen-Holten","hoekwoning",3350,2680,4020
"Rijswijk (ZH.)","hoekwoning",3750,3000,4500
"Roerdalen","hoekwoning",3350,2680,4020
"Roermond","hoekwoning",3450,2760,4140
"De Ronde Venen","hoekwoning",3700,2960,4440
"Roosendaal","hoekwoning",3450,2760,4140
"Rotterdam","hoekwoning",3400,2720,4080
"Rozendaal","hoekwoning",3950,3160,4740
"Rucphen","hoekwoning",3350,2680,4020
"Schagen","hoekwoning",3100,2480,3720
"Schermer","hoekwoning",3350,2680,4020
"Scherpenzeel","hoekwoning",3650,2920,4380
"Schiedam","hoekwoning",3600,2880,4320
"Schiermonnikoog","hoekwoning",2100,1680,2520
"Schijndel","hoekwoning",3600,2880,4320
"Schinnen","hoekwoning",3700,2960,4440
"Schoonhoven","hoekwoning",3350,2680,4020
"Schouwen-Duiveland","hoekwoning",2950,2360,3540
"Simpelveld","hoekwoning",3350,2680,4020
"Sint Anthonis","hoekwoning",3150,2520,3780
"Sint-Michielsgestel","hoekwoning",3550,2840,4260
"Sint-Oedenrode","hoekwoning",3750,3000,4500
"Sittard-Geleen","hoekwoning",3550,2840,4260
"Skarsterlân","hoekwoning",2700,2160,3240
"Sliedrecht","hoekwoning",3500,2800,4200
"Slochteren","hoekwoning",2850,2280,3420
"Sluis","hoekwoning",2700,2160,3240
"Smallingerland","hoekwoning",2950,2360,3540
"Soest","hoekwoning",3800,3040,4560
"Someren","hoekwoning",3650,2920,4380
"Son en Breugel","hoekwoning",3850,3080,4620
"Spijkenisse","hoekwoning",3750,3000,4500
"Stadskanaal","hoekwoning",3000,2400,3600
"Staphorst","hoekwoning",3500,2800,4200
"Stede Broec","hoekwoning",3350,2680,4020
"Steenbergen","hoekwoning",3350,2680,4020
"Steenwijkerland","hoekwoning",3000,2400,3600
"Stein (L.)","hoekwoning",3600,2880,4320
"Stichtse Vecht","hoekwoning",3750,3000,4500
"Strijen","hoekwoning",3400,2720,4080
"Sudwest-Fryslan","hoekwoning",2750,2200,3300
"Terneuzen","hoekwoning",2850,2280,3420
"Terschelling","hoekwoning",2850,2280,3420
"Texel","hoekwoning",3350,2680,4020
"Teylingen","hoekwoning",3700,2960,4440
"Tholen","hoekwoning",3150,2520,3780
"Tiel","hoekwoning",3500,2800,4200
"Tilburg","hoekwoning",3550,2840,4260
"Tubbergen","hoekwoning",3400,2720,4080
"Twenterand","hoekwoning",3300,2640,3960
"Tynaarlo","hoekwoning",3100,2480,3720
"Tytsjerksteradiel","hoekwoning",2750,2200,3300
"Ubbergen","hoekwoning",3150,2520,3780
"Uden","hoekwoning",3750,3000,4500
"Uitgeest","hoekwoning",3400,2720,4080
"Uithoorn","hoekwoning",3650,2920,4380
"Urk","hoekwoning",4050,3240,4860
"Utrecht (gemeente)","hoekwoning",3250,2600,3900
"Utrechtse Heuvelrug","hoekwoning",3400,2720,4080
"Vaals","hoekwoning",3300,2640,3960
"Valkenburg aan de Geul","hoekwoning",3550,2840,4260
"Valkenswaard","hoekwoning",3550,2840,4260
"Veendam","hoekwoning",3100,2480,3720
"Veenendaal","hoekwoning",3800,3040,4560
"Veere","hoekwoning",2950,2360,3540
"Veghel","hoekwoning",3700,2960,4440
"Veldhoven","hoekwoning",3700,2960,4440
"Velsen","hoekwoning",3550,2840,4260
"Venlo","hoekwoning",3500,2800,4200
"Venray","hoekwoning",3600,2880,4320
"Vianen","hoekwoning",3450,2760,4140
"Vlaardingen","hoekwoning",3550,2840,4260
"Vlagtwedde","hoekwoning",3000,2400,3600
"Vlieland","hoekwoning",3050,2440,3660
"Vlissingen","hoekwoning",2950,2360,3540
"Vlist","hoekwoning",3100,2480,3720
"Voerendaal","hoekwoning",3450,2760,4140
"Voorschoten","hoekwoning",3700,2960,4440
"Voorst","hoekwoning",3150,2520,3780
"Vught","hoekwoning",3500,2800,4200
