"gemeente","dwel_type","class_2","class_1","class_3"
"Den Helder","appartement",2000,1600,2400
"Hellendoorn","appartement",2250,1800,2700
"Hellevoetsluis","appartement",2500,2000,3000
"Helmond","appartement",2300,1840,2760
"Hendrik-Ido-Ambacht","appartement",2100,1680,2520
"Hengelo (O.)","appartement",2350,1880,2820
"'s-Hertogenbosch","appartement",2350,1880,2820
"Heumen","appartement",2550,2040,3060
"Heusden","appartement",2300,1840,2760
"Hillegom","appartement",2200,1760,2640
"Hilvarenbeek","appartement",2750,2200,3300
"Hilversum","appartement",2150,1720,2580
"Hof van Twente","appartement",2350,1880,2820
"Hollands Kroon","appartement",2100,1680,2520
"Hoogeveen","appartement",2000,1600,2400
"Hoogezand-Sappemeer","appartement",2050,1640,2460
"Hoorn","appartement",2150,1720,2580
"Horst aan de Maas","appartement",2350,1880,2820
"Houten","appartement",2350,1880,2820
"Huizen","appartement",2300,1840,2760
"Hulst","appartement",2200,1760,2640
"IJsselstein","appartement",2600,2080,3120
"Kaag en Braassem","appartement",2300,1840,2760
"Kampen","appartement",2150,1720,2580
"Kapelle","appartement",2050,1640,2460
"Katwijk","appartement",2300,1840,2760
"Kerkrade","appartement",2300,1840,2760
"Koggenland","appartement",2250,1800,2700
"Kollumerland en Nieuwkruisland","appartement",2000,1600,2400
"Korendijk","appartement",2900,2320,3480
"Krimpen aan den IJssel","appartement",2300,1840,2760
"Laarbeek","appartement",2250,1800,2700
"Landerd","appartement",2450,1960,2940
"Landgraaf","appartement",2150,1720,2580
"Landsmeer","appartement",2300,1840,2760
"Langedijk","appartement",2250,1800,2700
"Lansingerland","appartement",2300,1840,2760
"Laren (NH.)","appartement",2350,1880,2820
"Leek","appartement",2100,1680,2520
"Leerdam","appartement",2050,1640,2460
"Leeuwarden","appartement",1850,1480,2220
"Leeuwarderadeel","appartement",1900,1520,2280
"Leiden","appartement",2200,1760,2640
"Leiderdorp","appartement",2450,1960,2940
"Leidschendam-Voorburg","appartement",2150,1720,2580
"Lelystad","appartement",2150,1720,2580
"Lemsterland","appartement",2300,1840,2760
"Leudal","appartement",2100,1680,2520
"Leusden","appartement",2300,1840,2760
"Liesveld","appartement",2000,1600,2400
"Lingewaal","appartement",2250,1800,2700
"Lingewaard","appartement",2300,1840,2760
"Lisse","appartement",2250,1800,2700
"Littenseradiel","appartement",2150,1720,2580
"Lochem","appartement",2250,1800,2700
"Loon op Zand","appartement",2200,1760,2640
"Lopik","appartement",2450,1960,2940
"Loppersum","appartement",1750,1400,2100
"Losser","appartement",2300,1840,2760
